11/07/2018 16.23.46	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.46	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.46	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.47	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.47	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.47	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.47	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.48	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.48	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.48	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.49	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.49	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.49	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.49	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.50	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.50	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.50	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.50	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.51	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.51	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.51	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.51	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.52	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.52	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.52	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.52	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.53	Timer1 errore: Overflow di un'operazione aritmetica.
